t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
1.0,369.99999999999966,-5.354428992905286e+19,0.0,1419941511337602.8,8.584504011232351e+17,1633786712465417.2,4.5696006218200506e+17,1.6390688931638368e+17,8.626687450349141e+16,1.4826284689755123e+17
1.9090909090909092,369.99999999999966,-5.395116291767596e+19,0.0,2160169937284365.5,1.2689738957475433e+18,2393117321645946.5,6.695541252030862e+17,2.4016437137466205e+17,1.2640243572762523e+17,2.2829967618323882e+17
2.7355371900826446,369.99999999999966,-5.407118526450091e+19,0.0,2711352021481370.5,1.5429840397876861e+18,2901472693211468.0,8.109460403888156e+17,2.908786706447413e+17,1.53094198721255e+17,2.824523053181811e+17
3.644628099173554,369.99999999999966,-5.41284503260745e+19,0.0,3188379648946095.0,1.7923350394267635e+18,3362273707831601.0,9.397896157851223e+17,3.370950421789069e+17,1.774186318638448e+17,3.314810962421121e+17
4.644628099173554,369.99999999999966,-5.416462081588277e+19,0.0,3631628378904032.0,2.0304496495683558e+18,3800081569910096.5,1.062939679914765e+18,3.8127256978736416e+17,2.0066999148277658e+17,3.78135698434636e+17
5.744628099173553,369.99999999999966,-5.41910640677856e+19,0.0,4061019294568687.0,2.2632871614854126e+18,4226826265072267.0,1.1834042285857452e+18,4.244891013722242e+17,2.2341556546047942e+17,4.236904205073244e+17
6.954628099173553,369.99999999999966,-5.4211830398854234e+19,0.0,4485775946694556.5,2.494280200755262e+18,4649461648787727.0,1.3029314895046866e+18,4.6737097476778675e+17,2.459850049048553e+17,4.6885749398245286e+17
8.285628099173554,369.99999999999966,-5.422881495253122e+19,0.0,4910873184267110.0,2.725765157892696e+18,5072538642485385.0,1.4227220111478223e+18,5.103485496907748e+17,2.686048149048256e+17,5.141063703225213e+17
9.749728099173554,369.99999999999966,-5.424309163471408e+19,0.0,5339683683046921.0,2.959495191739943e+18,5499361103292009.0,1.5436800370588925e+18,5.537461399372152e+17,2.914456870834425e+17,5.597842828740545e+17
11.360238099173555,369.99999999999966,-5.425533911553316e+19,0.0,5774853944770452.0,3.1968726252178673e+18,5932534190348539.0,1.6665296612838868e+18,5.978235294835565e+17,3.1464435005324896e+17,6.06167696262054e+17
13.131799099173556,369.99999999999966,-5.42660142072171e+19,0.0,6218604135994944.0,3.4390753277906294e+18,6374236491591550.0,1.791879336617438e+18,6.427990571636328e+17,3.383157192053878e+17,6.534883741765862e+17
15.080516199173557,369.99999999999966,-5.427543803728662e+19,0.0,6672872853759015.0,3.6871330410522255e+18,6826370308319489.0,1.9202611488448993e+18,6.888636892499648e+17,3.625603033244745e+17,7.01948656470807e+17
17.22410500917356,369.99999999999966,-5.428384418029019e+19,0.0,7139409026653692.0,3.9419763526475576e+18,7290654396836114.0,2.0521560537263148e+18,7.361900684449137e+17,3.8746896721732346e+17,7.517311998355146e+17
19.582052700173563,369.99999999999966,-5.4291407371934106e+19,0.0,7619834978074445.0,4.204469554699259e+18,7768685666885929.0,2.1880108129915574e+18,7.849385883984847e+17,4.1312612883075437e+17,8.030055038334982e+17
22.175795160273566,369.99999999999966,-5.429826145699125e+19,0.0,8115690846686396.0,4.475433551837432e+18,8261982280625987.0,2.328249804931681e+18,8.352616307650346e+17,4.396119892845873e+17,8.559324537288146e+17
25.02891186638357,369.99999999999966,-5.4304511047123345e+19,0.0,8628466814473235.0,4.755662390811801e+18,8772014944846167.0,2.473283548833679e+18,8.873066240160507e+17,4.670041427760875e+17,9.106675934266662e+17
28.167340243104572,369.99999999999966,-5.431023934487411e+19,0.0,9159627293921256.0,5.045935568325569e+18,9300230454046058.0,2.623515053098811e+18,9.412183219367434e+17,4.953787757915744e+17,9.673635597504678e+17
31.619611457497676,369.99999999999966,-5.431551354390451e+19,0.0,9710629716974792.0,5.347027467448192e+18,9848070031081430.0,2.779344682175882e+18,9.971405510744051e+17,5.248115868189312e+17,1.0261719476309166e+18
35.41710979333009,369.99999999999966,-5.432038864775319e+19,0.0,1.0282939645942804e+16,5.659714795403973e+18,1.0416984126139508e+16,2.9411739918361093e+18,1.0552175883390408e+18,5.5537851140343974e+17,1.087244780053303e+18
39.59435796274575,369.99999999999966,-5.432491022258267e+19,0.0,1.087804259966015e+16,5.984782625271535e+18,1.1008443644177634e+16,3.109408874829017e+18,1.1155952948732896e+18,5.871563189278522e+17,1.15073565039754e+18
43.39185629857816,369.99999999999966,-5.432864555787033e+19,0.0,1.1423452164418626e+16,6.266113603534811e+18,1.1532096142020626e+16,3.2549226315571405e+18,1.1677988944017185e+18,6.146319359897235e+17,1.205804593279787e+18
47.56910446799382,369.99999999999966,-5.43320845566887e+19,0.0,1.1976774493760584e+16,6.561211863169568e+18,1.2076059786406742e+16,3.407606463034061e+18,1.22258189736266e+18,6.434651427915268e+17,1.263505525701151e+18
52.16407745435104,369.99999999999966,-5.433530158245222e+19,0.0,1.2546353902809652e+16,6.871037574320098e+18,1.2641778364949676e+16,3.567948725318848e+18,1.2801249864478303e+18,6.737510412047185e+17,1.3240246890809408e+18
57.21854773934398,369.99999999999966,-5.433836022103335e+19,0.0,1.3141259476995724e+16,7.196385867025812e+18,1.3234067256316022e+16,3.7363303764548316e+18,1.3405602474828585e+18,7.055591456224602e+17,1.3875607707323476e+18
61.8135207257012,369.99999999999966,-5.434095326336448e+19,0.0,1.3691028370047974e+16,7.480241968881159e+18,1.376399958145547e+16,3.883155294520171e+18,1.3932348117795026e+18,7.332826398604204e+17,1.4431141947695662e+18
66.86799101069414,369.99999999999966,-5.4343396721386955e+19,0.0,1.4253024131966578e+16,7.780133198076923e+18,1.4317607506673508e+16,4.0383220802801295e+18,1.4489111456293706e+18,7.625860240924832e+17,1.5017433164363008e+18
72.42790832418638,369.99999999999966,-5.434573033538917e+19,0.0,1.483546055350393e+16,8.097038768692726e+18,1.489672467333735e+16,4.2023273042256333e+18,1.5077738571359772e+18,7.935664672303649e+17,1.5636389548739054e+18
78.54381736902783,369.99999999999966,-5.434799156379282e+19,0.0,1.5447681609626854e+16,8.431805363567209e+18,1.550677298712835e+16,4.375579279862685e+18,1.5699635562836964e+18,8.262979687834554e+17,1.6290101040406164e+18
84.10373468252007,369.99999999999966,-5.4349940994076344e+19,0.0,1.6016982991516524e+16,8.725299922654599e+18,1.6056975507217724e+16,4.5273898230540764e+18,1.6244265666131067e+18,8.549627516235158e+17,1.6864468228651666e+18
90.21964372736153,369.99999999999966,-5.4351802985649e+19,0.0,1.6601249950267068e+16,9.036756135340122e+18,1.6633228143232052e+16,4.688540703617489e+18,1.6822525688294797e+18,8.853975447668593e+17,1.7473308400327916e+18
96.94714367668713,369.99999999999966,-5.435360439908833e+19,0.0,1.720932700548768e+16,9.367238935281711e+18,1.7238198875383024e+16,4.859568004982968e+18,1.74364126889092e+18,9.177074643817341e+17,1.8118746711452086e+18
103.06305272152859,369.99999999999966,-5.435516802452666e+19,0.0,1.777426841224019e+16,9.658114838936633e+18,1.7785285072215856e+16,5.010026421547341e+18,1.7976182920614264e+18,9.461164632552652e+17,1.8687941085881408e+18
109.7905526708542,369.99999999999966,-5.435667838906356e+19,0.0,1.835617529096114e+16,9.967917343794758e+18,1.83598042561031e+16,5.170321252726244e+18,1.8551384460410813e+18,9.763902847246221e+17,1.9293513807557473e+18
117.19080261511237,369.99999999999966,-5.435815551306475e+19,0.0,1.8964027543756584e+16,1.0297769002877942e+19,1.8964877086373304e+16,5.341018350050705e+18,1.9164120516067932e+18,1.0086396316826072e+18,1.9937700649077115e+18
123.91830256443798,369.99999999999966,-5.4359449630424195e+19,0.0,1.9530547209115636e+16,1.058892796766738e+19,1.9514445373200016e+16,5.491623122894849e+18,1.9704415602586962e+18,1.0370762545566577e+18,2.0507420373748716e+18
131.31855250869614,369.99999999999966,-5.43607107168561e+19,0.0,2.0115863731498256e+16,1.0899870469793077e+19,2.0092749758562204e+16,5.652505864876349e+18,2.0281741493586399e+18,1.0674618857184972e+18,2.1115199563495224e+18
139.45882744738014,369.99999999999966,-5.436195411386507e+19,0.0,2.072898689562706e+16,1.1231785625190724e+19,2.0703287410260668e+16,5.824265792867784e+18,2.089832806730332e+18,1.0999138956953663e+18,2.1763408555913508e+18
146.85907739163832,369.99999999999966,-5.436305145325466e+19,0.0,2.1301968426700816e+16,1.1525406087877118e+19,2.125992010508098e+16,5.976142348724392e+18,2.1443181685602883e+18,1.1285904412722772e+18,2.2337932407883753e+18
154.99935233032232,369.99999999999966,-5.436412788493295e+19,0.0,2.1895280525529264e+16,1.1839626145489416e+19,2.184644515456427e+16,6.138717931310927e+18,2.2026596327430766e+18,1.1592965350787195e+18,2.2952103206765926e+18
163.95365476287472,369.99999999999966,-5.436519593645272e+19,0.0,2.251815867471892e+16,1.217570455135771e+19,2.246685592650345e+16,6.312625856634294e+18,2.2650930275109947e+18,1.1921563064434732e+18,2.360844346167733e+18
172.09392970155872,369.99999999999966,-5.436614419573193e+19,0.0,2.310168725005226e+16,1.2473511282979783e+19,2.3034429291684468e+16,6.466665111682689e+18,2.320353426348304e+18,1.221240766011425e+18,2.4191158623956244e+18
181.04823213411112,369.99999999999966,-5.436707913556064e+19,0.0,2.370692023705857e+16,1.2792726953275517e+19,2.3632996247722076e+16,6.631821308899697e+18,2.379622297762664e+18,1.2524349712435538e+18,2.48150845888482e+18
190.89796480991873,369.99999999999966,-5.4368011488844956e+19,0.0,2.4343484219013852e+16,1.3134680759608705e+19,2.426716667132308e+16,6.808761573275295e+18,2.443148079757445e+18,1.2858696887709983e+18,2.5482907669146307e+18
199.85226724247113,369.99999999999966,-5.436884349834083e+19,0.0,2.4941222309147468e+16,1.3438097791418493e+19,2.4849190830732176e+16,6.965698856122226e+18,2.499446797821044e+18,1.3155006315909668e+18,2.60766109274437e+18
209.70199991827874,369.99999999999966,-5.436966709688692e+19,0.0,2.556196869999737e+16,1.376374430074269e+19,2.5463317934164644e+16,7.13417687309077e+18,2.5599090106751857e+18,1.3473229138499607e+18,2.6713102164926147e+18
