t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
1.0,369.99999999999864,-5.1228117283714154e+19,0.0,381926647135046.06,3.175722515343905e+18,444964138442232.8,1.0556038631277111e+18,7.97999777413299e+17,6.337063553897635e+17,6.875856286275543e+17
1.9090909090909092,369.99999999999864,-5.272926082002525e+19,0.0,577319069433226.0,4.698051846236288e+18,650974864496185.0,1.5445667702394253e+18,1.1676446536052198e+18,9.272481846990368e+17,1.0573639437586721e+18
2.7355371900826446,369.99999999999864,-5.317662808181976e+19,0.0,724367007003785.6,5.712250135834485e+18,788512727561505.9,1.869044662353802e+18,1.4129286878120054e+18,1.1220327496266488e+18,1.3067311563074627e+18
3.644628099173554,369.99999999999864,-5.338937162626051e+19,0.0,852059214833345.2,6.634452044717922e+18,913083274204612.0,2.1645968560395681e+18,1.6363611020380347e+18,1.2994645625808993e+18,1.5322643815703834e+18
4.644628099173554,369.99999999999864,-5.352353025640663e+19,0.0,971261642829510.6,7.514702463507905e+18,1031361801246345.2,2.44709656668018e+18,1.8499436520083822e+18,1.469074442626331e+18,1.746585178748934e+18
5.744628099173553,369.99999999999864,-5.362124162472982e+19,0.0,1086813252151343.6,8.375482464451603e+18,1146675068364794.2,2.723433517335917e+18,2.0588774658988388e+18,1.6349926907645325e+18,1.9559453021317975e+18
6.954628099173553,369.99999999999864,-5.3697917452161016e+19,0.0,1201027348825103.0,9.229549915824624e+18,1260855141399702.5,2.99768989662744e+18,2.2662458783951442e+18,1.7996678359898148e+18,2.1634844223219986e+18
8.285628099173554,369.99999999999864,-5.37607462785184e+19,0.0,1315751006872185.0,1.0085386315685016e+19,1375140916409681.0,3.2725617976328197e+18,2.4740857918492e+18,1.9647174181982976e+18,2.371330416081415e+18
9.749728099173554,369.99999999999864,-5.3813390474869285e+19,0.0,1431142454985666.0,1.0949717521236398e+19,1490456421858402.2,3.5501300967944105e+18,2.6839689774845773e+18,2.1313896079817306e+18,2.5813072400988314e+18
11.360238099173555,369.99999999999864,-5.385866842380516e+19,0.0,1548499373969089.8,1.1827548945884088e+19,1607425881754410.8,3.8320998825536067e+18,2.8971867385653033e+18,2.3007098565932385e+18,2.7943965429162163e+18
