t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1
1.0,370.0000000000001,-4.561489712162827e+19,0.0,172177693179994.22,7.031608507166128e+18,5.472290114935227e+18,1.5591462145377213e+18
1.9090909090909092,370.0000000000001,-4.8788033478319964e+19,0.0,243672617318441.7,1.0539289536391842e+19,8.294700056937782e+18,2.2443458068367404e+18
2.7355371900826446,370.0000000000001,-4.988283873872259e+19,0.0,309651860730419.2,1.2823260491588035e+19,1.0125358812231858e+19,2.6975920274954373e+18
3.644628099173554,370.0000000000001,-5.041362989834436e+19,0.0,360336185406794.0,1.4853051246001635e+19,1.1735795469713097e+19,3.1168954401031286e+18
4.644628099173554,370.0000000000001,-5.065643633376547e+19,0.0,397892630264384.06,1.6842970433096028e+19,1.3339657224528183e+19,3.5029153159375816e+18
5.744628099173553,370.0000000000001,-5.086877409614756e+19,0.0,448020763039260.2,1.8798264140062626e+19,1.4924137924838744e+19,3.873678194460841e+18
6.954628099173553,370.0000000000001,-5.1089976861118956e+19,0.0,507863522757684.44,2.068138491972821e+19,1.6417311428549163e+19,4.2635656276562867e+18
8.285628099173554,370.0000000000001,-5.122617434246411e+19,0.0,550297669695307.5,2.257149038683147e+19,1.7914288482864181e+19,4.656651606297594e+18
9.749728099173554,370.0000000000001,-5.131153613812478e+19,0.0,586195407359643.2,2.4525578588263985e+19,1.949442432466904e+19,5.030568068187576e+18
11.360238099173555,370.0000000000001,-5.141830888626937e+19,0.0,640564127553193.8,2.6503067006130377e+19,2.109048910861278e+19,5.411937333390045e+18
13.131799099173556,370.0000000000001,-5.152983107225992e+19,0.0,701560025208118.2,2.848068535763641e+19,2.2652839516964598e+19,5.827144280646588e+18
15.080516199173557,370.0000000000001,-5.159632749005357e+19,0.0,743255557537698.1,3.0526431499819176e+19,2.428466174828062e+19,6.241026495981029e+18
