t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
1.0,370.0000000000005,-5.377060219444308e+19,0.0,1934147989580278.8,6.319450028826167e+17,2219538367643506.0,4.099069777380335e+17,5.859067124759142e+16,5.859073280963043e+16,1.0070293473013763e+17
1.9090909090909092,370.0000000000005,-5.4070613872464265e+19,0.0,2942717766615977.0,9.337017757648449e+17,3251786849845224.0,6.007007623993188e+17,8.586282918783227e+16,8.586292085381669e+16,1.5508075870741606e+17
2.7355371900826446,370.0000000000005,-5.415876244157367e+19,0.0,3692852578584408.0,1.1351755020479327e+18,3943174412833972.0,7.276404444799626e+17,1.040065866766593e+17,1.0400669636025675e+17,1.91885747539635e+17
3.644628099173554,370.0000000000005,-5.420083056619986e+19,0.0,4341914259904057.0,1.318552297540482e+18,4570054611932038.0,8.433355907085933e+17,1.205441758353207e+17,1.2054430390673067e+17,2.2521625821800154e+17
4.644628099173554,370.0000000000005,-5.422741929772733e+19,0.0,4944961144295664.0,1.4936774953141699e+18,5165739332271519.0,9.539245603764803e+17,1.3635310919545038e+17,1.3635325717123339e+17,2.56935868094437e+17
5.744628099173553,370.0000000000005,-5.424686512309219e+19,0.0,5529157702567881.0,1.6649242697168312e+18,5746430990114120.0,1.0621031206979095e+18,1.5181832002457206e+17,1.518184890883818e+17,2.879087512132866e+17
6.954628099173553,370.0000000000005,-5.426213923768115e+19,0.0,6107068365857863.0,1.8348135187224105e+18,6321583174849182.0,1.1694391352348554e+18,1.6716365059965472e+17,1.6716384167350982e+17,3.18618239673684e+17
8.285628099173554,370.0000000000005,-5.427463316334169e+19,0.0,6685470640640630.0,2.0050617639105756e+18,6897388701930484.0,1.2770096861605606e+18,1.8254296026279338e+17,1.825431742508913e+17,3.493830838937589e+17
9.749728099173554,370.0000000000005,-5.428513598225316e+19,0.0,7268962784777720.0,2.176957152332607e+18,7478347985847480.0,1.3856260852704474e+18,1.98072204242813e+17,1.9807244215138746e+17,3.804391098973346e+17
11.360238099173555,370.0000000000005,-5.42941465630513e+19,0.0,7861155668664315.0,2.3515299537894456e+18,8068013495199914.0,1.4959379328436078e+18,2.138442547274896e+17,2.1384451770039693e+17,4.1197407935408736e+17
