t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1
1.0,370.0000000000002,-4.9192356685882294e+19,0.0,334420179266279.5,3.453019575947594e+18,2.441017833392022e+18,1.0116673223763071e+18
1.9090909090909092,370.0000000000002,-5.075430343415618e+19,0.0,490828333809622.3,5.17216527184364e+18,3.704563510833825e+18,1.4671109326760064e+18
2.7355371900826446,370.0000000000002,-5.126323162362694e+19,0.0,611957784436003.6,6.314412903102164e+18,4.5477923162397194e+18,1.7660086290780078e+18
3.644628099173554,370.0000000000002,-5.151025272605488e+19,0.0,719470520657242.8,7.346309340610226e+18,5.307884156946852e+18,2.0377057131427162e+18
4.644628099173554,370.0000000000002,-5.166291801531774e+19,0.0,819302261565018.0,8.328718284882542e+18,6.030866895228919e+18,2.2970320873920548e+18
5.744628099173553,370.0000000000002,-5.177348601895139e+19,0.0,916653139507311.6,9.287731147925369e+18,6.735913994353085e+18,2.5509005004327767e+18
6.954628099173553,370.0000000000002,-5.185926686940366e+19,0.0,1012449122741308.0,1.0238838074480548e+19,7.435321049957625e+18,2.8025045754001853e+18
8.285628099173554,370.0000000000002,-5.192963953161387e+19,0.0,1108959091466054.1,1.1191377127246733e+19,8.135356516769631e+18,3.0549116513856333e+18
9.749728099173554,370.0000000000002,-5.198835884440767e+19,0.0,1205888194707537.8,1.2153186461257107e+19,8.842457150255774e+18,3.309523422806626e+18
11.360238099173555,370.0000000000002,-5.2038947013717746e+19,0.0,1304717990994221.5,1.312969119513378e+19,9.56005655670679e+18,3.568329920435995e+18
13.131799099173556,370.0000000000002,-5.208282991166487e+19,0.0,1405265161575150.5,1.4126092302533229e+19,1.029241321635526e+19,3.832273821016396e+18
15.080516199173557,370.0000000000002,-5.2121640557997515e+19,0.0,1508314835314857.0,1.5146489612058722e+19,1.1042329625099817e+19,4.1026516721235866e+18
17.22410500917356,370.0000000000002,-5.21562360188526e+19,0.0,1614283180848326.8,1.6194755232205898e+19,1.1812611517723177e+19,4.380529431301872e+18
19.582052700173563,370.0000000000002,-5.218729758857083e+19,0.0,1723124040118744.2,1.7274592889784383e+19,1.2606279100915063e+19,4.666590664829206e+18
22.175795160273566,370.0000000000002,-5.22155221374523e+19,0.0,1835832479725392.5,1.8389194215840377e+19,1.342525852045793e+19,4.962099862902722e+18
25.02891186638357,370.0000000000002,-5.2241184896654746e+19,0.0,1952121585851702.2,1.9542024118697853e+19,1.4272419371745307e+19,5.267652625366684e+18
28.167340243104572,370.0000000000002,-5.22647210254187e+19,0.0,2072597841800727.8,2.073625814522696e+19,1.5150070464940526e+19,5.584115082444636e+18
31.619611457497676,370.0000000000002,-5.2286410049743045e+19,0.0,2197732920665153.8,2.1975027200356635e+19,1.606029448747373e+19,5.91253497996224e+18
35.41710979333009,370.0000000000002,-5.230642956991592e+19,0.0,2327543477723370.0,2.326163766399757e+19,1.7005683161679188e+19,6.253626958840668e+18
39.59435796274575,370.0000000000002,-5.232499377186839e+19,0.0,2462459273891610.5,2.459935121349219e+19,1.7988706819823036e+19,6.608181934395267e+18
44.18933094910297,370.0000000000002,-5.234227112644961e+19,0.0,2602935570739074.0,2.599143730972524e+19,1.90116713365273e+19,6.977163037627198e+18
49.24380123409591,370.0000000000002,-5.235838286661468e+19,0.0,2749249747805893.5,2.7441286831726707e+19,2.0077024070778438e+19,7.36151351120044e+18
53.83877422045313,370.0000000000002,-5.237174164056541e+19,0.0,2883356088984103.5,2.86979430319738e+19,2.1001054597860205e+19,7.694005078024608e+18
58.89324450544608,370.0000000000002,-5.238408725066306e+19,0.0,3019603170109632.0,3.001785923575773e+19,2.1971384743931204e+19,8.04345488865642e+18
64.45316181893831,370.0000000000002,-5.239569054666336e+19,0.0,3160140401278695.0,3.140524916651235e+19,2.2990926519678607e+19,8.411162506432452e+18
70.56907086377977,370.0000000000002,-5.2406748819963036e+19,0.0,3306947609569619.0,3.2863742769480385e+19,2.4062567671690826e+19,8.797868150179973e+18
