t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
1.0,370.0000000000008,-5.246944523255105e+19,0.0,627661891126823.5,1.9338578890260477e+18,730484403290663.5,7.710745913325988e+17,3.6646363252336403e+17,2.314509581396482e+17,5.635105607360195e+17
1.9090909090909092,370.0000000000008,-5.337536574042051e+19,0.0,948540310155069.1,2.868340354632804e+18,1066891052768494.0,1.126918163751461e+18,5.355893939778039e+17,3.382673481633719e+17,8.655500173772425e+17
2.7355371900826446,370.0000000000008,-5.364957756840538e+19,0.0,1189783395226451.8,3.491243919796694e+18,1291332494019293.8,1.362786820887534e+18,6.476867343945746e+17,4.0906573984147437e+17,1.069223508783864e+18
3.644628099173554,370.0000000000008,-5.3780847503407735e+19,0.0,1399593687050444.0,4.0570968157167636e+18,1494615494800312.8,1.5775318599563876e+18,7.497512202369019e+17,4.735275928336149e+17,1.2533919335080084e+18
4.644628099173554,370.0000000000008,-5.386336547451107e+19,0.0,1594774001142198.2,4.59701230417522e+18,1687698457248352.5,1.7827444242643103e+18,8.472926462207917e+17,5.3513278228210694e+17,1.4285599789496212e+18
5.744628099173553,370.0000000000008,-5.392348121763399e+19,0.0,1783889163117736.8,5.124787335363689e+18,1875860610888989.2,1.9834666530897818e+18,9.427050297386797e+17,5.953933179810177e+17,1.5995625847802028e+18
6.954628099173553,370.0000000000008,-5.397061292252608e+19,0.0,1970992060056547.2,5.64830587116841e+18,2062180037946791.8,2.1826196947289085e+18,1.0373750539334902e+18,6.551849987792321e+17,1.769092951628777e+18
8.285628099173554,370.0000000000008,-5.40091321586474e+19,0.0,2158277117350620.2,6.172902577685809e+18,2248670697660226.2,2.3822087547418276e+18,1.1322551203836677e+18,7.151093413790478e+17,1.9389224133662548e+18
9.749728099173554,370.0000000000008,-5.404149674944181e+19,0.0,2347222199599803.0,6.702569430946356e+18,2436791466905853.0,2.5837438947003643e+18,1.2280628431551355e+18,7.756195761197737e+17,2.1103591033045742e+18
11.360238099173555,370.0000000000008,-5.406925355560164e+19,0.0,2538983445024597.5,7.240495879180293e+18,2627690330214141.0,2.7884340011422234e+18,1.3253728995516608e+18,8.370786576375235e+17,2.2844436470736438e+18
13.131799099173556,370.0000000000008,-5.4093441890524e+19,0.0,2734531007267031.5,7.789359436773002e+18,2822325906826225.5,2.9972947260729836e+18,1.4246682051550897e+18,8.997915858273439e+17,2.462048062803485e+18
15.080516199173557,370.0000000000008,-5.411479165999044e+19,0.0,2934712420818162.5,8.351500326375783e+18,3021534173304885.0,3.211214257735194e+18,1.5263711386252462e+18,9.640251267498984e+17,2.6439335566713196e+18
17.22410500917356,370.0000000000008,-5.413383340441127e+19,0.0,3140292239790048.5,8.929033353411544e+18,3226069416720041.0,3.430995563451324e+18,1.6308636113557558e+18,1.0300204882087936e+18,2.830787328739153e+18
19.582052700173563,370.0000000000008,-5.415096380681461e+19,0.0,3351979301970919.0,9.523922920450535e+18,3436631396852044.5,3.65738473003354e+18,1.7385005367954929e+18,1.0980018266997452e+18,3.0232472162229284e+18
22.175795160273566,370.0000000000008,-5.4166486592680894e+19,0.0,3570445995359784.0,1.0138035314539246e+19,3653884220605455.5,3.891090761587676e+18,1.8496192425324147e+18,1.1681821918945326e+18,3.221918788308656e+18
25.02891186638357,370.0000000000008,-5.418063906553272e+19,0.0,3796342117621123.0,1.077317646203842e+19,3878469891736419.0,4.1327999301766154e+18,1.9645462942543713e+18,1.240767836520094e+18,3.4273875890779817e+18
28.167340243104572,370.0000000000008,-5.419360988788818e+19,0.0,4030304923504317.0,1.1431120133056756e+19,4111018544810092.5,4.383186393139445e+18,2.0836025419784084e+18,1.3159614034546012e+18,3.6402284710159805e+18
