t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1
1.0,369.9999999997644,-5.434782988007007e+19,-9e-323,2.657793554721852e+16,5.449997664703217e+16,2.792204109981347e+16
1.9090909090909092,369.9999999997644,-5.4373255246868046e+19,0.0,3.848373636862463e+16,8.093143407843085e+16,4.2447697709806216e+16
2.909090909090909,369.9999999997644,-5.438098821771459e+19,-9e-323,4.847108300490144e+16,1.0227306383634594e+17,5.380198083144496e+16
4.00909090909091,369.9999999997644,-5.438495065505616e+19,-9e-323,5.751788590084138e+16,1.2139017327464006e+17,6.387228737379878e+16
5.21909090909091,369.9999999997644,-5.438746266917746e+19,-1.14e-322,6.604986424181948e+16,1.3937945469816606e+17,7.332959045634642e+16
6.55009090909091,369.9999999997644,-5.4389255006914494e+19,-1.33e-322,7.430702579076925e+16,1.5678206119651037e+17,8.247503540574106e+16
8.01419090909091,369.9999999997644,-5.439062752573834e+19,-1.53e-322,8.243729942357995e+16,1.7391542230094576e+17,9.147812287736566e+16
9.624700909090912,369.9999999997644,-5.439172808710932e+19,-1.3e-322,9.053981991068707e+16,1.9098965345996474e+17,1.0044983354927757e+17
11.396261909090914,369.9999999997644,-5.439263950427059e+19,-1.6e-322,9.868643993534037e+16,2.0815667590781114e+17,1.0947023597247114e+17
13.344979009090915,369.9999999997644,-5.439341248559491e+19,-2.08e-322,1.0693281861957864e+17,2.2553407813903453e+17,1.186012595194559e+17
15.488567819090918,369.9999999997644,-5.4394080164547985e+19,-1.83e-322,1.1532448912962322e+17,2.4321799107835232e+17,1.2789350194872906e+17
17.84651551009092,369.9999999997644,-5.439466528559765e+19,-2.37e-322,1.239004077494159e+17,2.6129061022002934e+17,1.3739020247061336e+17
20.440257970190924,369.9999999997644,-5.4395184079803376e+19,-2.4e-322,1.3269515937240355e+17,2.798248725412542e+17,1.4712971316884966e+17
