t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1
1.0,370.0000000000002,-4.479224367038209e+19,0.0,156951794629219.75,7.853931816661872e+18,5.373341741142343e+18,2.480433123724902e+18
1.9090909090909092,370.0000000000002,-4.839277480017601e+19,0.0,218120342107055.75,1.172063678774937e+19,8.143083181547149e+18,3.577335485860105e+18
2.909090909090909,370.0000000000002,-4.963359621297878e+19,0.0,284205974171467.5,1.473312886400299e+19,1.0314183699299437e+19,4.418660958729384e+18
3.8181818181818183,370.0000000000002,-5.026050837105424e+19,0.0,338518677169055.9,1.6901787677375926e+19,1.1831096133526862e+19,5.070353025171902e+18
4.818181818181818,370.0000000000002,-5.05343306790272e+19,0.0,371089089619286.9,1.901343391512143e+19,1.3317325135435119e+19,5.695737690596683e+18
5.918181818181818,370.0000000000002,-5.069320779537734e+19,0.0,402456524772497.6,2.1161421176906506e+19,1.488121779462849e+19,6.279800925753229e+18
7.128181818181818,370.0000000000002,-5.0898031966712455e+19,0.0,453851079411609.8,2.327631047100373e+19,1.6418307625076787e+19,6.857548994847524e+18
8.459181818181818,370.0000000000002,-5.110886078527406e+19,0.0,510921702057242.1,2.532201512676021e+19,1.7843411013241346e+19,7.478093191816807e+18
9.923281818181819,370.0000000000002,-5.122227704655065e+19,0.0,545933783749974.9,2.740617537042144e+19,1.9294507468328923e+19,8.111121968308754e+18
11.53379181818182,370.0000000000002,-5.128933215813446e+19,0.0,574051129303487.0,2.9590695599963673e+19,2.0873726259729793e+19,8.716395289104578e+18
13.30535281818182,370.0000000000002,-5.138369414195509e+19,0.0,621572161558388.0,3.182643648192994e+19,2.25055356632298e+19,9.320279246538594e+18
15.254069918181822,370.0000000000002,-5.150314756648336e+19,0.0,685068186569745.5,3.405290688456407e+19,2.4063983786157347e+19,9.988238030220157e+18
17.397658728181824,370.0000000000002,-5.157514722037289e+19,0.0,726971281875638.5,3.63476223406575e+19,2.5664148748677014e+19,1.0682746620698608e+19
19.755606419181827,370.0000000000002,-5.161918583306504e+19,0.0,759461100464349.4,3.876790407407847e+19,2.741716270071847e+19,1.1349981912259535e+19
22.34934887928183,370.0000000000002,-5.16854673634657e+19,0.0,815792450292714.6,4.125823277747107e+19,2.9219055982500643e+19,1.2038361002520144e+19
25.202465585391835,370.0000000000002,-5.176020716388569e+19,0.0,882415267264337.0,4.378428986779134e+19,3.0976387862663795e+19,1.2807019589860297e+19
28.340893962112837,370.0000000000002,-5.180104358240498e+19,0.0,923316409677483.2,4.6434728628393525e+19,3.285753420099716e+19,1.3576271110986689e+19
31.79316517650594,370.0000000000002,-5.184013336701295e+19,0.0,971275540891480.4,4.921520302754473e+19,3.4881737199687774e+19,1.4332494552316041e+19
35.59066351233835,370.0000000000002,-5.189772945217409e+19,0.0,1046683658936588.5,5.2054947088958505e+19,3.6875930672702935e+19,1.5177969732596658e+19
39.76791168175401,370.0000000000002,-5.193552846088038e+19,0.0,1100144946948869.6,5.502071647888413e+19,3.8971294638982e+19,1.6048321694955178e+19
44.36288466811123,370.0000000000002,-5.1966500716961096e+19,0.0,1152872369603444.5,5.814069712983212e+19,4.12355301794287e+19,1.690401407803382e+19
48.54013283752688,370.0000000000002,-5.200682488533749e+19,0.0,1226363629318563.0,6.080856757219673e+19,4.311152158421113e+19,1.7695819624356293e+19
53.1351058238841,370.0000000000002,-5.20346221434977e+19,0.0,1280157181774584.0,6.361546816596684e+19,4.5089061633211924e+19,1.852512637557314e+19
